product_name,price,stock,description,sub_category_id
Bluetooth Speaker 1,12155,250,Best suited for daily use,1501
LED Desk Lamp 2,509,80,Highly rated customer favorite,1502
Fitness Band 3,32165,134,Energy efficient and reliable,1503
Mechanical Keyboard 4,32038,221,Energy efficient and reliable,1504
Power Bank 5,53517,90,High quality and durable product,1505
Fitness Band 6,37647,121,High quality and durable product,1506
Coffee Maker 7,19382,165,Premium build with modern design,1507
Coffee Maker 8,52644,110,Premium build with modern design,1508
Mechanical Keyboard 9,55663,50,Highly rated customer favorite,1509
Air Fryer 10,11006,131,High quality and durable product,1510
Coffee Maker 11,14771,124,High quality and durable product,1511
Laptop Backpack 12,3575,236,Best suited for daily use,1512
Vacuum Cleaner 13,10810,93,High quality and durable product,1513
Bluetooth Speaker 14,24237,165,Energy efficient and reliable,1514
Water Bottle 15,42582,37,Energy efficient and reliable,1515
Air Fryer 16,35266,120,Energy efficient and reliable,1516
Office Chair 17,55425,270,High quality and durable product,1517
Laptop Backpack 18,40402,67,High quality and durable product,1518
Yoga Mat 19,16176,131,Best suited for daily use,1519
Mobile Charger 20,1947,187,High quality and durable product,1520
Bluetooth Speaker 21,30682,264,Best suited for daily use,1521
Smart Watch 22,53789,66,High quality and durable product,1522
Power Bank 23,3955,93,Energy efficient and reliable,1523
Yoga Mat 24,7506,79,Highly rated customer favorite,1524
Kitchen Mixer 25,50397,171,High quality and durable product,1525
Bluetooth Speaker 26,39253,18,Energy efficient and reliable,1526
Water Bottle 27,51529,189,Highly rated customer favorite,1527
Kitchen Mixer 28,57257,187,Premium build with modern design,1528
DSLR Camera 29,45293,52,High quality and durable product,1529
DSLR Camera 30,26261,13,High quality and durable product,1530
Electric Kettle 31,53561,91,Highly rated customer favorite,1531
Kitchen Mixer 32,59830,129,Best suited for daily use,1532
Bluetooth Speaker 33,7027,106,Energy efficient and reliable,1533
Laptop Backpack 34,40259,110,Best suited for daily use,1534
Office Chair 35,35343,119,Premium build with modern design,1535
Mechanical Keyboard 36,41755,53,Premium build with modern design,1536
Vacuum Cleaner 37,57861,60,High quality and durable product,1537
Smart Watch 38,17084,154,Best suited for daily use,1538
Vacuum Cleaner 39,3445,258,Energy efficient and reliable,1539
Fitness Band 40,6857,237,Best suited for daily use,1540
Air Fryer 41,12331,127,Premium build with modern design,1541
Mechanical Keyboard 42,22809,96,Premium build with modern design,1542
Laptop Backpack 43,17228,62,Energy efficient and reliable,1543
Water Bottle 44,26909,53,High quality and durable product,1544
Mechanical Keyboard 45,57852,254,High quality and durable product,1545
Yoga Mat 46,39036,10,Energy efficient and reliable,1546
Laptop Backpack 47,25329,43,Energy efficient and reliable,1547
Electric Kettle 48,40254,38,Best suited for daily use,1548
Water Bottle 49,41941,139,Highly rated customer favorite,1549
Coffee Maker 50,49055,125,Premium build with modern design,1550
Air Fryer 51,47678,49,Highly rated customer favorite,1551
Office Chair 52,11397,15,High quality and durable product,1552
Noise Cancelling Earbuds 53,12010,230,Highly rated customer favorite,1553
Smart Watch 54,29858,35,High quality and durable product,1554
Smart Watch 55,7946,229,Premium build with modern design,1555
Water Bottle 56,59306,78,Energy efficient and reliable,1556
Power Bank 57,49720,75,Energy efficient and reliable,1557
Smart Watch 58,31234,278,Highly rated customer favorite,1558
Water Bottle 59,20172,81,High quality and durable product,1559
Vacuum Cleaner 60,40411,134,Highly rated customer favorite,1560
Mobile Charger 61,52383,6,Highly rated customer favorite,1561
Bluetooth Speaker 62,26922,185,High quality and durable product,1562
Wireless Headphones 63,50051,159,Best suited for daily use,1563
Mobile Charger 64,46971,128,Energy efficient and reliable,1564
Office Chair 65,34941,197,High quality and durable product,1565
DSLR Camera 66,11829,193,Highly rated customer favorite,1566
Gaming Mouse 67,58739,179,High quality and durable product,1567
Yoga Mat 68,20908,36,Energy efficient and reliable,1568
Wireless Headphones 69,47782,124,Highly rated customer favorite,1569
Gaming Mouse 70,26653,248,Premium build with modern design,1570
LED Desk Lamp 71,28806,117,Energy efficient and reliable,1571
Gaming Mouse 72,309,59,Energy efficient and reliable,1572
Mechanical Keyboard 73,12711,65,High quality and durable product,1573
Gaming Mouse 74,24557,24,Premium build with modern design,1574
Noise Cancelling Earbuds 75,51286,287,Energy efficient and reliable,1575
Vacuum Cleaner 76,13950,159,Energy efficient and reliable,1576
Laptop Backpack 77,5220,239,Best suited for daily use,1577
Bluetooth Speaker 78,57677,118,Energy efficient and reliable,1578
Kitchen Mixer 79,39141,21,Energy efficient and reliable,1579
Mechanical Keyboard 80,1712,137,Highly rated customer favorite,1580
Electric Kettle 81,16340,29,High quality and durable product,1581
Gaming Mouse 82,57016,26,High quality and durable product,1582
Fitness Band 83,16432,149,Premium build with modern design,1583
Laptop Backpack 84,11661,12,High quality and durable product,1584
Vacuum Cleaner 85,27315,43,Energy efficient and reliable,1585
Mechanical Keyboard 86,11707,94,Highly rated customer favorite,1586
Wireless Headphones 87,8182,143,Energy efficient and reliable,1587
Gaming Mouse 88,15649,273,Premium build with modern design,1588
Water Bottle 89,52127,145,Highly rated customer favorite,1589
DSLR Camera 90,41003,274,Premium build with modern design,1590
Vacuum Cleaner 91,21072,206,High quality and durable product,1591
Bluetooth Speaker 92,28124,101,Energy efficient and reliable,1592
Fitness Band 93,37310,231,Best suited for daily use,1593
Laptop Backpack 94,52374,126,Highly rated customer favorite,1594
Kitchen Mixer 95,30759,231,High quality and durable product,1595
Office Chair 96,30707,178,Best suited for daily use,1596
Smart Watch 97,42558,177,Energy efficient and reliable,1597
Bluetooth Speaker 98,56306,298,Energy efficient and reliable,1598
Office Chair 99,14552,48,Highly rated customer favorite,1599
Noise Cancelling Earbuds 100,39260,152,Best suited for daily use,1600
Laptop Backpack 101,655,229,Best suited for daily use,1601
Power Bank 102,40997,214,Highly rated customer favorite,1602
Mobile Charger 103,5519,222,High quality and durable product,1603
Water Bottle 104,5213,263,Energy efficient and reliable,1604
Vacuum Cleaner 105,20298,219,Best suited for daily use,1605
Electric Kettle 106,17274,248,Energy efficient and reliable,1606
Bluetooth Speaker 107,7063,232,High quality and durable product,1607
Kitchen Mixer 108,20746,20,Premium build with modern design,1608
Laptop Backpack 109,48489,170,Energy efficient and reliable,1609
DSLR Camera 110,52400,132,Best suited for daily use,1610
Coffee Maker 111,47435,256,Premium build with modern design,1611
LED Desk Lamp 112,5244,100,Energy efficient and reliable,1612
Water Bottle 113,52030,229,Premium build with modern design,1613
Noise Cancelling Earbuds 114,15595,142,Energy efficient and reliable,1614
Mechanical Keyboard 115,11343,208,Highly rated customer favorite,1615
Noise Cancelling Earbuds 116,30707,107,Premium build with modern design,1616
Office Chair 117,51519,105,Highly rated customer favorite,1617
Office Chair 118,48838,185,Premium build with modern design,1618
Air Fryer 119,15032,189,Best suited for daily use,1619
Power Bank 120,5854,277,Energy efficient and reliable,1620
Gaming Mouse 121,34092,36,Highly rated customer favorite,1621
Mobile Charger 122,34798,112,Best suited for daily use,1622
Kitchen Mixer 123,16360,226,Energy efficient and reliable,1623
Smart Watch 124,43960,200,High quality and durable product,1624
Kitchen Mixer 125,25424,135,Highly rated customer favorite,1625
Electric Kettle 126,10295,171,Energy efficient and reliable,1626
Yoga Mat 127,34495,211,Premium build with modern design,1627
Air Fryer 128,53724,299,High quality and durable product,1628
Yoga Mat 129,44282,113,Energy efficient and reliable,1629
Gaming Mouse 130,51094,187,Best suited for daily use,1630
Noise Cancelling Earbuds 131,50437,220,Premium build with modern design,1631
Gaming Mouse 132,58150,92,High quality and durable product,1632
Kitchen Mixer 133,32315,205,Energy efficient and reliable,1633
Kitchen Mixer 134,8039,223,Premium build with modern design,1634
Electric Kettle 135,36505,24,Highly rated customer favorite,1635
Kitchen Mixer 136,43648,112,Premium build with modern design,1636
Mechanical Keyboard 137,9597,191,Premium build with modern design,1637
Bluetooth Speaker 138,42749,20,Energy efficient and reliable,1638
Gaming Mouse 139,7849,76,Energy efficient and reliable,1639
Smart Watch 140,32586,61,Premium build with modern design,1640
Yoga Mat 141,44491,215,High quality and durable product,1641
Wireless Headphones 142,44786,140,High quality and durable product,1642
Water Bottle 143,21766,299,Premium build with modern design,1643
Laptop Backpack 144,3748,95,High quality and durable product,1644
Air Fryer 145,13128,221,High quality and durable product,1645
Yoga Mat 146,45099,35,Best suited for daily use,1646
Kitchen Mixer 147,20539,201,High quality and durable product,1647
DSLR Camera 148,20629,52,Energy efficient and reliable,1648
Fitness Band 149,17343,293,High quality and durable product,1649
Wireless Headphones 150,498,8,Best suited for daily use,1650
Fitness Band 151,40716,237,Best suited for daily use,1651
Yoga Mat 152,13864,41,Highly rated customer favorite,1652
Laptop Backpack 153,18349,262,High quality and durable product,1653
Vacuum Cleaner 154,20223,180,Premium build with modern design,1654
Office Chair 155,47422,208,Energy efficient and reliable,1655
Power Bank 156,48330,74,Premium build with modern design,1656
Yoga Mat 157,9594,44,High quality and durable product,1657
Power Bank 158,48743,103,High quality and durable product,1658
Mobile Charger 159,37088,209,High quality and durable product,1659
Water Bottle 160,52735,18,Best suited for daily use,1660
Water Bottle 161,4421,89,High quality and durable product,1661
Office Chair 162,41866,97,High quality and durable product,1662
Office Chair 163,40129,156,Energy efficient and reliable,1663
